,STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2
23776,other,12,H,F,3,L,F,B
23777,MI,10,H,M,2,L,G,A
23778,other,25,H,M,3,L,F,B
23779,CA,35,H,F,1,L,F,B
23780,other,4,U,F,3,L,E,A
23781,NC,39,U,F,1,L,F,B
23782,FL,29,H,M,3,L,E,B
23783,other,35,H,M,2,L,D,C
23784,NC,40,H,F,2,L,F,B
23785,other,40,H,M,3,L,F,A
23786,other,43,H,M,3,L,F,D
23787,MI,44,H,F,3,L,F,C
23788,CA,3,H,M,2,L,F,A
23789,WA,20,H,M,3,L,E,C
23790,CA,46,U,F,3,L,G,D
23791,FL,8,U,M,3,L,G,A
23792,other,29,U,M,1,L,E,A
23793,NC,47,U,M,3,L,F,D
23794,CA,13,H,F,3,L,F,A
23795,other,16,H,F,3,L,E,B
23796,MI,13,H,F,3,L,G,A
23797,NC,22,H,other,1,L,F,B
23798,other,12,H,F,3,L,F,B
23799,FL,24,H,F,3,L,F,B
23800,CA,11,U,M,1,L,F,A
23801,FL,26,U,F,3,L,G,C
23802,IL,10,H,F,2,L,F,A
23803,CA,36,H,M,3,L,F,C
23804,TX,10,U,F,3,L,F,A
23805,WI,39,U,M,3,L,F,C
23806,MO,42,U,M,3,L,F,B
23807,other,40,U,M,1,L,F,C
23808,MI,14,H,M,3,L,F,A
23809,FL,8,H,F,3,L,D,A
23810,TX,24,H,M,3,L,E,A
23811,other,46,U,F,3,L,E,D
23812,TX,24,H,F,3,L,E,A
23813,other,45,U,F,3,L,G,D
23814,TX,49,U,M,3,L,F,D
23815,other,12,H,M,2,L,E,D
23816,other,24,H,F,3,L,G,B
23817,CA,18,U,M,2,L,F,A
23818,CA,14,U,F,3,L,F,A
23819,FL,24,U,F,3,L,G,C
23820,other,39,H,F,2,L,D,B
23821,IL,5,H,F,3,L,E,A
23822,other,43,H,F,2,L,G,C
23823,other,12,U,F,3,L,F,B
23824,other,45,U,F,3,L,E,D
23825,other,9,H,M,3,L,F,A
23826,IL,40,U,F,3,L,E,D
23827,WI,26,H,F,3,L,F,C
23828,FL,47,U,F,3,L,E,D
23829,CA,14,U,F,3,L,F,A
23830,CA,2,H,F,2,L,F,A
23831,other,50,U,M,3,L,F,D
23832,other,40,H,F,3,L,G,C
23833,TX,8,U,M,3,L,F,B
23834,NC,45,U,F,3,L,F,D
23835,CA,3,H,F,1,L,F,A
23836,CA,35,H,M,3,L,F,A
23837,other,20,H,M,2,L,F,A
23838,other,36,H,F,2,L,F,D
23839,IL,24,H,F,3,L,G,A
23840,FL,46,U,F,3,L,F,B
23841,FL,49,H,M,2,L,F,B
23842,GA,40,U,F,1,L,F,C
23843,other,53,U,F,3,L,E,D
23844,MI,40,H,F,3,L,E,B
23845,TX,13,H,M,3,L,F,A
23846,CA,35,H,F,3,L,F,A
23847,other,40,H,F,3,L,E,B
23848,GA,49,U,M,3,L,E,D
23849,CA,8,U,M,3,L,F,A
23850,other,49,H,M,2,L,E,B
23851,other,13,U,F,3,L,F,B
23852,FL,51,U,M,3,L,F,D
23853,CA,20,U,F,3,L,F,A
23854,CA,40,H,F,3,L,F,A
23855,WA,15,H,F,3,L,F,A
23856,CA,39,H,M,2,L,F,A
23857,GA,39,U,M,3,L,F,A
23858,other,53,U,F,2,L,D,D
23859,other,42,U,M,3,L,F,D
23860,other,46,H,F,3,L,D,C
23861,MI,40,U,F,3,L,F,B
23862,MI,40,H,F,3,L,E,A
23863,other,35,H,M,3,L,G,B
23864,WA,49,H,M,2,L,F,D
23865,MI,16,U,F,3,L,D,A
23866,other,51,U,F,2,L,F,C
23867,TX,43,H,F,2,L,F,A
23868,other,27,H,F,2,L,F,B
23869,CA,8,H,F,3,L,E,B
23870,CA,3,U,F,2,L,F,A
23871,NC,41,U,F,3,L,F,C
23872,other,41,U,F,1,L,F,D
23873,CA,46,H,F,3,L,D,D
23874,MI,17,H,F,3,L,F,B
23875,FL,28,U,F,3,L,D,B
23876,other,53,H,F,3,L,F,D
23877,IL,4,U,M,3,L,F,A
23878,other,35,H,M,3,L,G,A
23879,MO,39,U,F,3,L,F,D
23880,IL,23,H,M,3,L,F,A
23881,CA,13,H,M,3,L,F,A
23882,FL,11,H,M,1,L,G,A
23883,MO,40,U,F,3,L,E,A
23884,CA,21,H,M,3,L,F,B
23885,other,25,U,M,2,L,D,B
23886,other,35,H,F,3,L,F,B
23887,FL,7,U,F,2,L,E,A
23888,GA,35,H,F,3,L,G,D
23889,CA,20,U,M,3,L,F,A
23890,WI,10,U,M,3,L,E,B
23891,CA,7,H,F,3,L,G,A
23892,other,34,U,F,2,L,F,B
23893,CA,11,U,F,3,L,F,A
23894,CA,21,U,F,3,L,F,A
23895,IN,31,H,M,3,L,G,B
23896,other,18,H,F,2,L,G,B
23897,other,24,H,M,3,L,E,B
23898,CA,6,H,M,3,L,F,A
23899,FL,37,H,M,3,L,E,B
23900,CA,14,U,M,3,L,F,A
23901,other,35,H,F,3,L,F,C
23902,TX,27,H,M,2,L,F,A
23903,MI,44,H,M,2,L,E,A
23904,IL,35,U,F,3,L,F,B
23905,other,25,U,M,2,L,E,D
23906,WA,40,H,M,2,L,F,A
23907,CA,17,U,M,3,L,G,A
23908,CA,40,H,M,2,L,F,A
23909,FL,5,U,F,3,L,F,A
23910,CA,13,H,M,2,L,F,A
23911,other,47,H,F,2,L,G,B
23912,TX,45,U,F,3,L,F,D
23913,GA,40,U,F,3,L,F,D
23914,other,49,U,M,3,L,G,C
23915,FL,14,H,M,2,L,G,A
23916,WA,25,U,other,3,L,F,A
23917,CA,4,H,F,3,L,G,A
23918,CA,18,H,F,3,L,G,A
23919,TX,41,H,M,3,L,G,A
23920,other,11,H,M,3,L,E,B
23921,IL,27,H,M,3,L,F,A
23922,FL,33,U,F,3,L,E,B
23923,TX,45,U,M,2,L,F,D
23924,MI,30,U,F,3,L,D,A
23925,other,35,U,F,2,L,D,B
23926,NC,49,U,F,3,L,E,B
23927,MO,10,H,F,3,L,E,A
23928,MI,49,U,M,3,L,F,C
23929,IL,12,U,M,2,L,G,A
23930,IN,45,H,F,3,L,E,D
23931,CA,18,H,F,2,L,F,A
23932,MI,35,H,M,3,L,E,B
23933,MI,43,H,M,3,L,E,D
23934,CA,1,U,M,3,L,G,A
23935,IL,21,H,M,2,L,G,A
23936,MO,45,U,F,3,L,F,A
23937,NC,42,U,F,2,L,E,B
23938,CA,23,U,F,3,L,F,B
23939,MI,5,H,F,3,L,F,A
23940,CA,7,U,M,3,L,F,A
23941,other,12,H,M,3,L,F,B
23942,WI,7,U,M,1,L,F,C
23943,other,13,H,M,3,L,E,A
23944,other,40,U,F,3,L,G,B
23945,CA,14,U,M,3,L,F,A
23946,other,43,H,F,2,L,F,C
23947,MI,5,H,M,2,L,G,A
23948,CA,11,U,F,3,L,G,A
23949,MI,45,H,F,3,L,F,D
23950,MI,8,H,F,3,L,F,B
23951,other,7,H,F,3,L,F,B
23952,other,40,U,F,3,L,E,D
23953,FL,34,H,M,3,L,G,B
23954,FL,27,H,M,3,L,F,B
23955,other,22,H,F,3,L,F,C
23956,TX,21,U,M,3,L,F,A
23957,CA,13,U,F,3,L,G,A
23958,other,41,H,M,3,L,E,D
23959,CA,29,U,F,3,L,F,A
23960,other,12,H,F,3,L,F,B
23961,TX,36,U,F,3,L,G,A
23962,FL,37,H,M,1,L,F,A
23963,WA,24,H,M,3,L,E,C
23964,FL,17,H,F,3,L,F,B
23965,other,19,H,F,3,L,E,B
23966,CA,24,H,M,3,L,F,A
23967,other,40,H,F,3,L,F,C
23968,MI,11,H,M,3,L,E,A
23969,other,24,H,F,3,L,F,C
23970,other,3,H,M,3,L,F,B
23971,GA,35,U,M,1,L,F,B
23972,other,5,H,M,3,L,G,B
23973,NC,40,U,F,2,L,F,C
23974,other,17,U,M,1,L,F,B
23975,TX,31,U,F,1,L,D,B
23976,TX,12,H,F,3,L,F,A
23977,other,49,H,other,3,L,E,C
23978,TX,53,U,F,3,L,G,D
23979,CA,41,H,F,3,L,F,A
23980,MI,44,H,F,3,L,F,A
23981,CA,9,U,M,3,L,E,A
23982,CA,24,H,F,2,L,G,A
23983,other,41,U,F,3,L,F,A
23984,TX,9,U,F,3,L,G,A
23985,other,34,U,M,1,L,E,D
23986,CA,6,U,M,3,L,G,A
23987,other,39,H,M,2,L,F,B
23988,other,43,H,other,2,L,G,B
23989,MI,43,U,M,3,L,F,D
23990,TX,45,H,M,2,L,E,C
23991,GA,47,H,M,2,L,F,C
23992,CA,26,U,F,3,L,F,A
23993,other,20,H,F,3,L,G,B
23994,CA,31,U,M,3,L,F,B
23995,other,47,U,F,3,L,E,D
23996,FL,21,H,F,3,L,F,A
23997,other,41,H,M,3,L,E,C
23998,TX,28,H,M,3,L,F,B
23999,FL,7,H,F,3,L,E,A
24000,IL,2,U,F,2,L,F,A
24001,CA,27,H,F,2,L,E,A
24002,FL,28,H,M,2,L,G,B
24003,CA,40,U,M,3,L,G,A
24004,MI,43,H,F,3,L,F,C
24005,WI,46,U,F,3,L,D,D
24006,IN,21,U,M,3,L,F,B
24007,IN,35,H,M,3,L,F,B
24008,other,50,U,F,2,L,F,D
24009,WA,31,H,M,3,L,F,A
24010,FL,28,H,F,3,L,G,B
24011,other,16,H,F,2,L,F,B
24012,CA,52,U,M,2,L,G,C
24013,other,50,H,F,3,L,F,C
24014,CA,13,U,M,3,L,G,A
24015,other,22,H,F,3,L,E,B
24016,NC,25,H,M,3,L,F,B
24017,other,31,U,F,3,L,D,C
24018,other,20,U,F,3,L,F,A
24019,other,30,H,M,3,L,F,B
24020,GA,14,H,M,2,L,F,A
24021,CA,27,U,F,3,L,F,A
24022,CA,29,H,F,3,L,F,C
24023,IL,13,H,F,3,L,E,A
24024,CA,28,H,M,2,L,F,A
24025,MI,44,U,M,1,L,F,B
24026,CA,8,H,M,2,L,G,A
24027,other,20,U,M,3,L,E,B
24028,FL,35,H,F,2,L,F,A
24029,other,32,H,F,3,L,F,B
24030,CA,13,H,M,3,L,E,A
24031,other,34,H,M,2,L,G,B
24032,MI,35,U,F,1,L,D,B
24033,FL,24,H,F,3,L,F,B
24034,TX,41,U,F,2,L,F,B
24035,CA,46,H,F,2,L,G,C
24036,MI,16,H,M,3,L,G,A
24037,MO,45,U,F,3,L,E,D
24038,GA,39,H,other,3,L,G,A
24039,other,23,H,M,3,L,G,C
24040,other,48,H,M,2,L,F,C
24041,IL,26,H,F,2,L,F,A
24042,other,13,H,F,3,L,E,B
24043,IL,1,H,F,2,L,G,A
24044,CA,17,H,F,3,L,E,A
24045,IN,44,U,F,1,L,E,C
24046,CA,9,H,F,3,L,E,A
24047,CA,49,U,F,3,L,D,A
24048,IN,36,H,F,3,L,G,C
24049,other,38,H,F,3,L,D,D
24050,other,36,U,F,1,L,G,B
24051,other,35,H,F,3,L,G,D
24052,other,22,U,F,3,L,D,B
24053,IN,44,U,F,3,L,E,B
24054,CA,29,U,M,3,L,E,A
24055,TX,2,H,M,3,L,G,B
24056,IN,49,U,M,3,L,G,D
24057,MI,51,H,M,2,L,F,A
24058,other,51,H,F,3,L,E,D
24059,other,35,H,M,3,L,D,C
24060,CA,15,U,F,3,L,G,A
24061,FL,46,H,M,3,L,E,B
24062,other,31,U,M,1,L,F,B
24063,CA,44,H,F,2,L,F,B
24064,TX,13,H,F,3,L,F,B
24065,IL,35,U,other,1,L,F,A
24066,other,52,H,F,2,L,F,D
24067,CA,28,H,F,2,L,E,C
24068,other,40,H,F,3,L,F,C
24069,other,51,U,F,3,L,F,D
24070,other,31,U,F,3,L,E,B
24071,other,36,U,M,3,L,F,D
24072,MI,24,H,other,3,L,G,A
24073,MO,9,H,M,3,L,G,C
24074,CA,13,U,F,3,L,E,A
24075,GA,40,H,F,3,L,E,A
24076,other,49,U,F,3,L,F,D
24077,other,36,U,M,3,L,E,D
24078,MI,43,H,M,3,L,D,B
24079,TX,44,H,M,2,L,F,A
24080,FL,46,U,F,1,L,E,A
24081,other,48,U,F,3,L,F,D
24082,CA,12,H,M,2,L,F,A
24083,other,27,U,M,3,L,F,C
24084,IN,26,U,F,3,L,E,C
24085,other,24,H,M,3,L,G,A
24086,TX,12,H,F,2,L,F,B
24087,TX,45,H,F,3,L,F,D
24088,other,43,H,F,3,L,F,B
24089,TX,45,U,F,1,L,F,D
24090,GA,51,U,F,3,L,F,B
24091,MI,27,H,F,3,L,G,C
24092,CA,40,U,F,2,L,E,A
24093,IN,48,H,F,3,L,F,D
24094,WI,48,U,F,3,L,E,D
24095,CA,23,U,F,3,L,E,B
24096,FL,23,H,F,3,L,F,B
24097,IL,16,H,M,3,L,F,A
24098,MO,49,H,F,3,L,G,A
24099,other,33,U,M,3,L,G,A
24100,other,24,H,M,3,L,G,C
24101,other,31,U,M,1,L,F,B
24102,CA,9,U,F,3,L,F,A
24103,MI,24,H,F,3,L,G,A
24104,IN,11,U,F,3,L,F,B
24105,TX,24,H,M,3,L,E,A
24106,other,25,U,F,3,L,D,B
24107,WA,13,H,F,2,L,F,A
24108,MO,21,H,M,3,L,G,A
24109,CA,3,H,F,3,L,F,A
24110,MI,22,U,M,2,L,F,A
24111,IN,4,U,F,1,L,F,B
24112,IN,28,H,F,3,L,E,B
24113,other,18,U,M,3,L,G,B
24114,IN,40,U,M,3,L,E,B
24115,TX,2,H,M,3,L,F,A
24116,FL,40,U,F,3,L,F,B
24117,FL,9,H,F,2,L,E,A
24118,MI,14,H,F,2,L,F,A
24119,WI,16,H,F,3,L,G,B
24120,other,51,H,other,2,L,F,D
24121,GA,49,U,F,3,L,F,B
24122,NC,53,U,M,3,L,E,D
24123,FL,40,U,F,3,L,F,B
24124,CA,35,H,F,3,L,F,B
24125,FL,27,U,M,3,L,E,B
24126,other,36,U,M,1,L,F,D
24127,CA,7,U,F,2,L,E,A
24128,MO,13,U,F,3,L,D,A
24129,FL,12,H,M,3,L,E,B
24130,CA,1,U,F,2,L,F,A
24131,CA,13,H,F,3,L,G,A
24132,WA,18,U,M,3,L,E,A
24133,other,25,H,M,2,L,F,C
24134,IL,14,H,F,3,L,E,A
24135,other,47,H,F,2,L,F,B
24136,MI,27,U,F,3,L,F,B
24137,other,49,H,F,2,L,D,D
24138,other,39,H,M,3,L,F,D
24139,TX,13,H,M,1,L,F,B
24140,TX,24,H,F,2,L,F,A
24141,CA,13,H,F,3,L,G,A
24142,NC,39,H,M,2,L,F,C
24143,other,34,H,F,2,L,F,B
24144,FL,19,H,M,1,L,E,A
24145,FL,16,U,F,3,L,G,A
24146,CA,28,H,M,1,L,F,A
24147,IL,12,U,F,3,L,E,A
24148,FL,41,U,F,3,L,F,B
24149,MO,10,U,M,3,L,F,B
24150,other,22,U,M,3,L,G,B
24151,GA,25,H,F,3,L,D,D
24152,other,35,H,M,3,L,F,B
24153,other,24,H,M,3,L,G,B
24154,other,45,H,F,3,L,F,D
24155,IN,12,U,M,3,L,G,A
24156,GA,40,H,F,3,L,F,A
24157,GA,40,U,M,3,L,F,C
24158,other,12,U,F,3,L,G,C
24159,other,49,U,F,3,L,F,D
24160,FL,18,U,F,3,L,E,B
24161,other,22,U,F,3,L,G,B
24162,CA,3,U,M,3,L,F,A
24163,FL,8,U,F,3,L,G,A
24164,other,51,U,F,3,L,G,D
24165,CA,5,H,F,2,L,F,A
24166,TX,42,U,other,3,L,F,A
24167,CA,18,U,F,3,L,F,A
24168,other,27,H,M,2,L,F,B
24169,IL,27,H,F,3,L,F,A
24170,other,30,H,F,3,L,G,B
24171,FL,23,H,M,3,L,E,B
24172,other,49,U,F,3,L,F,B
24173,IN,27,H,F,3,L,F,B
24174,IL,45,U,F,3,L,E,C
24175,other,22,U,M,1,L,G,B
24176,IN,44,U,M,3,L,F,C
24177,GA,12,H,F,1,L,G,A
24178,TX,52,U,M,2,L,F,D
24179,other,29,U,F,1,L,F,A
24180,other,38,U,M,2,L,G,D
24181,CA,48,H,F,3,L,G,A
24182,other,40,H,F,1,L,F,B
24183,CA,13,H,F,3,L,F,A
24184,NC,36,H,F,2,L,D,C
24185,FL,30,H,F,3,L,F,C
24186,NC,40,H,M,2,L,F,B
24187,MI,27,U,M,3,L,F,D
24188,CA,17,U,F,3,L,E,A
24189,CA,14,U,M,3,L,F,A
24190,NC,41,H,F,3,L,E,C
24191,TX,24,H,F,2,L,E,B
24192,MO,51,U,F,2,L,F,D
24193,MI,30,H,F,3,L,F,B
24194,MI,44,H,F,2,L,F,B
24195,other,31,H,M,3,L,E,C
24196,other,25,H,M,3,L,G,B
24197,other,36,U,F,3,L,G,C
24198,other,37,H,M,2,L,E,D
24199,WI,40,U,F,3,L,D,D
24200,TX,12,H,F,3,L,G,A
24201,FL,40,H,F,2,L,G,D
24202,FL,18,H,F,3,L,F,A
24203,IN,18,H,F,2,L,F,B
24204,CA,23,H,F,3,L,F,A
24205,MI,39,H,M,3,L,E,B
24206,other,50,H,M,2,L,G,D
24207,IN,44,U,F,1,L,E,B
24208,FL,33,H,F,3,L,D,A
24209,other,28,H,F,3,L,G,A
24210,other,32,U,M,3,L,F,B
24211,other,36,H,M,3,L,F,D
24212,other,34,H,F,2,L,E,B
24213,CA,1,U,F,3,L,F,A
24214,CA,49,U,F,2,L,F,C
24215,CA,34,H,M,2,L,F,A
24216,WA,22,H,M,2,L,F,D
24217,GA,20,H,F,3,L,E,A
24218,NC,22,U,M,3,L,F,C
24219,other,32,U,F,3,L,F,D
24220,WA,4,H,F,2,L,F,A
24221,TX,19,H,F,2,L,E,B
24222,other,18,H,F,2,L,E,B
24223,IN,51,U,F,3,L,E,D
24224,FL,45,U,other,3,L,D,C
24225,other,15,U,M,3,L,E,B
24226,FL,27,H,M,1,L,G,B
24227,FL,27,U,M,3,L,G,C
24228,other,14,H,F,3,L,G,B
24229,CA,31,U,M,3,L,F,A
24230,other,43,U,F,3,L,F,C
24231,other,40,U,M,3,L,F,A
24232,other,45,U,F,1,L,F,D
24233,other,20,U,F,3,L,E,A
24234,FL,26,H,M,3,L,E,B
24235,FL,48,U,F,3,L,F,C
24236,GA,39,H,F,3,L,E,B
24237,IL,27,H,F,2,L,F,D
24238,CA,3,U,M,3,L,E,A
24239,CA,12,H,M,2,L,F,A
24240,CA,8,H,M,1,L,E,A
24241,TX,30,H,M,2,L,F,B
24242,other,27,H,M,3,L,G,C
24243,other,40,H,M,2,L,F,C
24244,FL,29,H,M,2,L,F,B
24245,other,35,H,F,3,L,D,B
24246,CA,8,U,M,3,L,E,A
24247,other,16,H,M,2,L,G,B
24248,other,43,H,F,2,L,G,D
24249,CA,15,U,F,3,L,F,A
24250,other,44,U,F,2,L,F,A
24251,CA,8,U,M,2,L,G,A
24252,TX,18,U,F,1,L,F,A
24253,CA,38,U,F,2,L,E,C
24254,CA,12,H,F,2,L,G,A
24255,CA,2,U,M,1,L,F,A
24256,TX,35,U,F,3,L,G,A
24257,CA,21,U,F,2,L,F,A
24258,other,14,H,M,3,L,G,B
24259,GA,24,H,M,3,L,D,B
24260,other,14,H,M,3,L,F,B
24261,other,50,U,F,3,L,F,B
24262,other,7,U,F,3,L,E,B
24263,TX,27,U,F,1,L,F,C
24264,TX,40,U,M,3,L,F,C
24265,CA,7,H,M,3,L,E,A
24266,other,53,U,M,3,L,E,C
24267,IN,43,H,other,3,L,F,C
24268,other,31,U,F,3,L,F,B
24269,FL,44,H,M,3,L,F,B
24270,WA,39,U,F,3,L,G,A
24271,FL,40,U,F,2,L,F,B
24272,FL,26,H,F,3,L,E,A
24273,IL,35,H,M,3,L,F,A
24274,CA,40,U,F,3,L,F,A
24275,CA,6,H,M,3,L,E,A
24276,IL,5,U,M,1,L,F,A
24277,FL,28,U,M,3,L,G,C
24278,TX,43,H,M,2,L,G,C
24279,other,46,H,F,3,L,D,D
24280,MI,44,U,M,3,L,G,D
24281,NC,47,U,F,2,L,E,D
24282,IL,51,U,F,3,L,F,C
24283,MO,48,U,F,2,L,E,D
24284,other,2,U,F,3,L,F,B
24285,other,34,U,F,1,L,G,B
24286,CA,20,H,F,3,L,E,A
24287,WI,44,U,M,2,L,F,A
24288,other,49,U,F,3,L,F,D
24289,MI,8,H,F,3,L,F,A
24290,other,17,U,F,3,L,E,B
24291,other,49,H,M,2,L,G,C
24292,other,30,U,F,3,L,F,A
24293,MI,20,H,F,3,L,G,A
24294,TX,8,H,M,3,L,E,A
24295,TX,6,H,M,2,L,F,B
24296,other,14,H,M,3,L,F,B
24297,other,35,H,F,3,L,F,B
24298,other,49,U,M,3,L,F,D
24299,CA,42,U,F,3,L,F,C
24300,other,46,H,F,2,L,E,B
24301,WA,25,U,M,3,L,F,C
24302,CA,28,U,F,2,L,F,A
24303,other,2,H,M,3,L,G,A
24304,other,32,H,F,3,L,F,C
24305,IN,44,H,M,2,L,E,B
24306,other,28,U,F,3,L,G,B
24307,other,17,H,F,3,L,F,A
24308,IN,38,U,F,2,L,F,B
24309,other,15,H,F,3,L,G,B
24310,MI,40,U,M,3,L,D,A
24311,CA,46,H,F,3,L,E,D
24312,other,14,H,F,3,L,E,C
24313,IN,36,H,F,3,L,F,D
24314,TX,24,U,M,1,L,G,B
24315,IL,43,U,M,3,L,G,A
24316,MI,45,H,M,2,L,F,D
24317,FL,12,H,F,1,L,G,C
24318,FL,10,U,F,3,L,E,A
24319,NC,39,U,F,3,L,G,B
24320,TX,41,H,F,3,L,E,C
24321,TX,41,U,F,3,L,F,D
24322,FL,16,U,F,3,L,F,B
24323,other,16,U,F,3,L,D,B
24324,TX,48,U,M,1,L,F,D
24325,other,53,U,M,2,L,F,D
24326,other,27,H,other,2,L,F,B
24327,other,31,U,F,3,L,F,C
24328,other,11,U,F,2,L,F,A
24329,TX,4,H,F,3,L,G,D
24330,GA,40,U,F,3,L,E,A
24331,CA,7,U,F,3,L,F,A
24332,other,45,U,F,3,L,F,D
24333,MO,23,H,F,2,L,E,A
24334,other,38,H,F,3,L,F,C
24335,CA,24,H,M,3,L,F,A
24336,CA,44,U,F,3,L,F,D
24337,CA,10,U,F,3,L,F,A
24338,TX,16,H,M,3,L,F,A
24339,CA,5,H,other,3,L,E,A
24340,IL,36,H,F,2,L,G,D
24341,other,48,H,M,2,L,E,D
24342,FL,35,H,F,3,L,G,B
24343,MO,12,U,F,3,L,G,B
24344,NC,42,U,F,1,L,E,B
24345,NC,41,H,M,3,L,E,C
24346,IN,30,H,F,3,L,E,B
24347,TX,24,H,F,3,L,F,A
24348,CA,20,H,F,2,L,G,A
24349,MI,44,H,F,2,L,G,A
24350,WI,49,H,M,3,L,D,B
24351,NC,50,U,F,3,L,F,C
24352,TX,26,H,F,3,L,G,C
24353,other,35,H,M,2,L,D,B
24354,CA,31,U,M,3,L,F,A
24355,other,34,U,F,3,L,E,C
24356,CA,5,H,M,3,L,F,A
24357,other,27,H,M,3,L,G,D
24358,WI,35,U,M,3,L,F,D
24359,TX,39,U,F,2,L,G,C
24360,other,27,H,M,3,L,G,C
24361,other,8,H,F,2,L,F,B
24362,other,18,H,M,3,L,G,A
24363,other,42,H,F,3,L,E,D
24364,other,49,U,F,3,L,E,B
24365,other,13,H,F,1,L,F,A
24366,other,25,U,M,3,L,F,D
24367,WI,43,U,M,3,L,E,D
24368,other,47,U,M,2,L,G,D
24369,other,36,U,M,2,L,G,D
24370,other,46,H,M,2,L,G,D
24371,other,39,U,M,2,L,G,C
24372,FL,18,U,M,2,L,F,A
24373,other,45,H,F,2,L,G,D
24374,other,32,H,F,3,L,F,B
24375,other,27,H,M,2,L,F,B
24376,other,19,H,F,2,L,F,B
24377,FL,17,U,M,3,L,F,B
24378,other,34,U,F,3,L,E,C
24379,other,20,U,F,3,L,E,A
24380,CA,31,U,F,2,L,F,A
24381,CA,40,U,F,3,L,E,A
24382,IN,27,U,M,2,L,F,C
24383,TX,41,H,M,3,L,F,D
24384,FL,24,U,M,3,L,E,A
24385,other,41,H,F,3,L,D,C
24386,TX,12,U,F,3,L,E,A
24387,other,27,H,M,3,L,D,C
24388,FL,37,H,M,3,L,F,A
24389,other,45,U,F,3,L,E,D
24390,GA,12,H,M,2,L,E,A
24391,other,38,U,M,3,L,G,D
24392,IL,5,H,F,3,L,F,A
24393,WA,31,H,M,2,L,F,A
24394,FL,23,H,F,3,L,D,B
24395,FL,12,U,M,3,L,E,B
24396,other,31,H,M,3,L,E,C
24397,GA,40,U,F,2,L,F,A
24398,CA,13,H,M,3,L,F,A
24399,TX,32,H,M,3,L,F,B
24400,other,49,U,F,2,L,E,C
24401,FL,18,U,F,3,L,F,A
24402,other,45,U,F,3,L,E,D
24403,other,43,U,M,2,L,E,D
24404,IL,2,H,F,3,L,F,A
24405,FL,41,U,F,3,L,F,C
24406,FL,18,H,F,2,L,F,B
24407,CA,1,U,F,3,L,G,A
24408,CA,40,H,F,3,L,E,C
24409,other,51,U,M,3,L,G,D
24410,other,45,H,M,2,L,F,D
24411,WA,49,U,F,3,L,G,D
24412,IL,27,U,F,3,L,F,C
24413,WA,27,H,M,3,L,F,A
24414,IN,17,H,F,3,L,F,B
24415,TX,48,H,F,2,L,G,C
24416,other,50,U,F,3,L,D,B
24417,CA,46,H,F,3,L,E,D
24418,other,24,U,F,3,L,F,B
24419,other,38,H,M,3,L,E,C
24420,other,53,U,M,3,L,E,D
24421,IL,24,U,F,3,L,F,C
24422,other,37,U,M,3,L,G,D
24423,IL,12,H,M,2,L,G,A
24424,IL,27,H,F,2,L,F,A
24425,other,2,U,F,3,L,F,A
24426,MI,40,U,M,3,L,D,B
24427,other,35,H,M,3,L,E,B
24428,FL,8,H,M,2,L,F,A
24429,TX,11,H,M,1,L,E,A
24430,other,53,H,M,2,L,F,D
24431,other,41,H,F,3,L,E,D
24432,NC,36,U,F,3,L,F,B
24433,NC,40,H,F,3,L,F,B
24434,CA,13,U,F,3,L,F,A
24435,TX,49,H,M,3,L,F,A
24436,CA,6,U,F,3,L,E,A
24437,other,10,H,F,2,L,E,B
24438,WI,12,H,F,1,L,E,B
24439,CA,8,H,F,2,L,F,B
24440,CA,11,U,F,3,L,F,A
24441,TX,12,U,F,3,L,F,B
24442,WA,11,U,F,3,L,E,A
24443,other,36,U,M,3,L,E,D
24444,other,51,U,M,3,L,F,D
24445,IN,49,H,M,2,L,F,D
24446,CA,4,U,F,3,L,E,A
24447,TX,43,U,M,2,L,E,D
24448,other,51,U,F,2,L,E,D
24449,MI,49,H,M,3,L,F,D
24450,other,16,H,M,3,L,F,B
24451,TX,24,H,F,3,L,D,A
24452,CA,15,H,M,3,L,E,A
24453,CA,17,U,F,3,L,F,A
24454,WI,44,H,M,3,L,F,B
24455,other,51,U,F,3,L,F,D
24456,other,22,H,F,3,L,F,B
24457,FL,18,H,F,3,L,F,B
24458,other,25,U,F,3,L,E,C
24459,CA,13,U,F,3,L,G,A
24460,NC,3,H,M,1,L,F,B
24461,other,45,H,M,2,L,E,D
24462,other,24,H,M,3,L,F,B
24463,CA,5,H,other,3,L,G,A
24464,NC,41,H,F,3,L,F,C
24465,CA,1,U,F,3,L,F,A
24466,other,50,U,F,3,L,F,D
24467,MO,24,H,F,3,L,E,B
24468,other,18,H,F,3,L,E,B
24469,FL,30,H,M,3,L,E,B
24470,NC,36,H,M,2,L,D,C
24471,WI,40,U,F,3,L,E,C
24472,CA,51,H,F,3,L,F,A
24473,other,17,U,F,3,L,D,A
24474,TX,18,H,F,3,L,F,B
24475,MO,40,U,M,1,L,F,B
24476,IL,13,H,F,2,L,F,A
24477,other,51,H,M,2,L,E,D
24478,CA,24,U,F,3,L,E,C
24479,other,4,U,M,3,L,G,D
24480,CA,1,U,M,1,L,F,A
24481,other,35,H,F,2,L,F,A
24482,NC,24,U,M,3,L,F,B
24483,CA,15,U,F,3,L,F,A
24484,other,38,U,M,3,L,F,D
